id,logo_path,header_text,footer_text,contact_info,is_active,created_at,updated_at,zone_id,title,header_content,footer_content,is_default,settings
1,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",1,"Template Standard - SZR1","Sezione Zonale Regole SZR1",1,1,""{\"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr1@federgolf.it\"}""
2,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",2,"Template Standard - SZR2","Sezione Zonale Regole SZR2",2,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr2@federgolf.it\"}""
3,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",3,"Template Standard - SZR3","Sezione Zonale Regole SZR3",3,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr3@federgolf.it\"}""
4,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",4,"Template Standard - SZR4","Sezione Zonale Regole SZR4",4,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr4@federgolf.it\"}""
5,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",5,"Template Standard - SZR5","Sezione Zonale Regole SZR5",5,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr5@federgolf.it\"}""
6,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:22","2025-07-03 20:54:22",6,"Template Standard - SZR6","Sezione Zonale Regole SZR6",6,1,""{\"signatories\": \"Vincenzo ADAMO - Roberto RUSCO\", \"contact_email\": \"szr6@federgolf.it\"}""
7,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:23","2025-07-03 20:54:23",7,"Template Standard - SZR7","Sezione Zonale Regole SZR7",7,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr7@federgolf.it\"}""
8,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-03 20:54:23","2025-07-03 20:54:23",8,"Template Standard - CRC","Sezione Zonale Regole CRC",8,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr8@federgolf.it\"}""
9,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-04 05:41:20","2025-07-04 05:41:20",1,"Template Standard - SZR1","Sezione Zonale Regole SZR1",1,1,""{\"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr1@federgolf.it\"}""
10,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-04 05:41:20","2025-07-04 05:41:20",2,"Template Standard - SZR2","Sezione Zonale Regole SZR2",2,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr2@federgolf.it\"}""
11,letterheads/logo_shared.jpg,NULL,NULL,NULL,1,"2025-07-04 05:41:20","2025-07-04 05:41:20",3,"Template Standard - SZR3","Sezione Zonale Regole SZR3",3,1,""{\"address\": \"Viale Tiziano, 74 - 00196 Roma - Tel. 063231825\", \"signatories\": \"Responsabili Sezione Zonale Regole\", \"contact_email\": \"szr3@federgolf.it\"}""
